spin index,aktuální kredit,bet,vyhra,nasobok
 0,9900,100,0,0
 1,9800,100,0,0
 2,12200,100,2500,25
 3,12100,100,0,0
 4,12000,100,0,0
 5,14400,100,2500,25
 6,14300,100,0,0
 7,14200,100,0,0
 8,14100,100,0,0
 9,14000,100,0,0
 10,16400,100,2500,25
 11,16300,100,0,0
 12,16200,100,0,0
 13,16100,100,0,0
 14,16000,100,0,0
 15,15900,100,0,0
 16,15800,100,0,0
 17,16700,100,1000,10
 18,16600,100,0,0
 19,19000,100,2500,25
 20,18900,100,0,0
 21,28800,100,10000,100
 22,28800,100,100,1
 23,28700,100,0,0
 24,28600,100,0,0
 25,29500,100,1000,10
 26,29400,100,0,0
 27,29300,100,0,0
 28,29200,100,0,0
 29,29200,100,100,1
 30,29100,100,0,0
 31,29000,100,0,0
 32,28900,100,0,0
 33,28800,100,0,0
 34,28700,100,0,0
 35,28600,100,0,0
 36,28500,100,0,0
 37,28400,100,0,0
 38,28300,100,0,0
 39,28200,100,0,0
 40,28100,100,0,0
 41,28000,100,0,0
 42,30400,100,2500,25
 43,31300,100,1000,10
 44,31200,100,0,0
 45,31100,100,0,0
 46,31000,100,0,0
 47,35900,100,5000,50
 48,35800,100,0,0
 49,35700,100,0,0
 50,35600,100,0,0
 51,35500,100,0,0
 52,35400,100,0,0
 53,35300,100,0,0
 54,35300,100,100,1
 55,35200,100,0,0
 56,35200,100,100,1
 57,35100,100,0,0
 58,35100,100,100,1
 59,35000,100,0,0
 60,34900,100,0,0
 61,34800,100,0,0
 62,34700,100,0,0
 63,34600,100,0,0
 64,34500,100,0,0
 65,34400,100,0,0
 66,34300,100,0,0
 67,35200,100,1000,10
 68,37600,100,2500,25
 69,42500,100,5000,50
 70,42400,100,0,0
 71,42300,100,0,0
 72,42200,100,0,0
 73,42100,100,0,0
 74,42000,100,0,0
 75,41900,100,0,0
 76,41800,100,0,0
 77,41800,100,100,1
 78,41700,100,0,0
 79,41600,100,0,0
 80,42500,100,1000,10
 81,47400,100,5000,50
 82,47300,100,0,0
 83,47200,100,0,0
 84,47100,100,0,0
 85,47000,100,0,0
 86,46900,100,0,0
 87,46800,100,0,0
 88,47700,100,1000,10
 89,47600,100,0,0
 90,47500,100,0,0
 91,47400,100,0,0
 92,47300,100,0,0
 93,47200,100,0,0
 94,47100,100,0,0
 95,47000,100,0,0
 96,46900,100,0,0
 97,46800,100,0,0
 98,46700,100,0,0
 99,46600,100,0,0
 100,46500,100,0,0
 101,46400,100,0,0
 102,46300,100,0,0
 103,48700,100,2500,25
 104,48600,100,0,0
 105,48600,100,100,1
 106,48500,100,0,0
 107,48400,100,0,0
 108,48300,100,0,0
 109,48200,100,0,0
 110,48100,100,0,0
 111,48000,100,0,0
 112,47900,100,0,0
 113,47900,100,100,1
 114,48800,100,1000,10
 115,48800,100,100,1
 116,48700,100,0,0
 117,48700,100,100,1
 118,48600,100,0,0
 119,48500,100,0,0
 120,48400,100,0,0
 121,48300,100,0,0
 122,48200,100,0,0
 123,48100,100,0,0
 124,48000,100,0,0
 125,48000,100,100,1
 126,47900,100,0,0
 127,47900,100,100,1
 128,47800,100,0,0
 129,47700,100,0,0
 130,47600,100,0,0
 131,47500,100,0,0
 132,48400,100,1000,10
 133,53300,100,5000,50
 134,53200,100,0,0
 135,53100,100,0,0
 136,53100,100,100,1
 137,53000,100,0,0
 138,52900,100,0,0
 139,52800,100,0,0
 140,53700,100,1000,10
 141,53700,100,100,1
 142,53600,100,0,0
 143,53500,100,0,0
 144,53400,100,0,0
 145,53300,100,0,0
 146,53300,100,100,1
 147,53200,100,0,0
 148,53100,100,0,0
 149,53000,100,0,0
 150,52900,100,0,0
 151,52900,100,100,1
 152,52800,100,0,0
 153,52700,100,0,0
 154,52600,100,0,0
 155,55000,100,2500,25
 156,54900,100,0,0
 157,54800,100,0,0
 158,54700,100,0,0
 159,54600,100,0,0
 160,54500,100,0,0
 161,54400,100,0,0
 162,54300,100,0,0
 163,54200,100,0,0
 164,54100,100,0,0
 165,54000,100,0,0
 166,56400,100,2500,25
 167,56300,100,0,0
 168,56200,100,0,0
 169,56100,100,0,0
 170,56000,100,0,0
 171,55900,100,0,0
 172,55800,100,0,0
 173,55700,100,0,0
 174,55600,100,0,0
 175,55500,100,0,0
 176,55400,100,0,0
 177,57800,100,2500,25
 178,58700,100,1000,10
 179,58600,100,0,0
 180,59500,100,1000,10
 181,59400,100,0,0
 182,59300,100,0,0
 183,59200,100,0,0
 184,59100,100,0,0
 185,59000,100,0,0
 186,58900,100,0,0
 187,58800,100,0,0
 188,58700,100,0,0
 189,58600,100,0,0
 190,58600,100,100,1
 191,58500,100,0,0
 192,58400,100,0,0
 193,58400,100,100,1
 194,58400,100,100,1
 195,58300,100,0,0
 196,58200,100,0,0
 197,59100,100,1000,10
 198,59000,100,0,0
 199,58900,100,0,0
 200,58800,100,0,0
 201,58700,100,0,0
 202,58600,100,0,0
 203,58600,100,100,1
 204,58500,100,0,0
 205,58400,100,0,0
 206,58400,100,100,1
 207,58300,100,0,0
 208,58200,100,0,0
 209,58100,100,0,0
 210,58100,100,100,1
 211,58100,100,100,1
 212,58000,100,0,0
 213,57900,100,0,0
 214,57800,100,0,0
 215,60200,100,2500,25
 216,60100,100,0,0
 217,60000,100,0,0
 218,59900,100,0,0
 219,59800,100,0,0
 220,59700,100,0,0
 221,59700,100,100,1
 222,59600,100,0,0
 223,59500,100,0,0
 224,59400,100,0,0
 225,59300,100,0,0
 226,59200,100,0,0
 227,59100,100,0,0
 228,59000,100,0,0
 229,58900,100,0,0
 230,58800,100,0,0
 231,58700,100,0,0
 232,58700,100,100,1
 233,58600,100,0,0
 234,58600,100,100,1
 235,58500,100,0,0
 236,58400,100,0,0
 237,58300,100,0,0
 238,58200,100,0,0
 239,58100,100,0,0
 240,58000,100,0,0
 241,57900,100,0,0
 242,58800,100,1000,10
 243,58700,100,0,0
 244,58700,100,100,1
 245,63600,100,5000,50
 246,63500,100,0,0
 247,63400,100,0,0
 248,63300,100,0,0
 249,63200,100,0,0
 250,63100,100,0,0
 251,63000,100,0,0
 252,62900,100,0,0
 253,62800,100,0,0
 254,62800,100,100,1
 255,62800,100,100,1
 256,62700,100,0,0
 257,62600,100,0,0
 258,62500,100,0,0
 259,62400,100,0,0
 260,62300,100,0,0
 261,62300,100,100,1
 262,62200,100,0,0
 263,62100,100,0,0
 264,62000,100,0,0
 265,61900,100,0,0
 266,61800,100,0,0
 267,61700,100,0,0
 268,61600,100,0,0
 269,61500,100,0,0
 270,62400,100,1000,10
 271,62300,100,0,0
 272,62200,100,0,0
 273,67100,100,5000,50
 274,67100,100,100,1
 275,67100,100,100,1
 276,67000,100,0,0
 277,66900,100,0,0
 278,67800,100,1000,10
 279,67700,100,0,0
 280,67600,100,0,0
 281,67500,100,0,0
 282,67400,100,0,0
 283,67300,100,0,0
 284,67200,100,0,0
 285,67100,100,0,0
 286,67000,100,0,0
 287,66900,100,0,0
 288,66800,100,0,0
 289,66700,100,0,0
 290,66600,100,0,0
 291,66600,100,100,1
 292,66500,100,0,0
 293,66400,100,0,0
 294,66300,100,0,0
 295,66300,100,100,1
 296,66200,100,0,0
 297,66200,100,100,1
 298,66100,100,0,0
 299,66000,100,0,0
 300,66900,100,1000,10
 301,66800,100,0,0
 302,66700,100,0,0
 303,66600,100,0,0
 304,66500,100,0,0
 305,66400,100,0,0
 306,66300,100,0,0
 307,66200,100,0,0
 308,66100,100,0,0
 309,66000,100,0,0
 310,65900,100,0,0
 311,65800,100,0,0
 312,65700,100,0,0
 313,65600,100,0,0
 314,65600,100,100,1
 315,65500,100,0,0
 316,65400,100,0,0
 317,65400,100,100,1
 318,65300,100,0,0
 319,65200,100,0,0
 320,65100,100,0,0
 321,65000,100,0,0
 322,65000,100,100,1
 323,64900,100,0,0
 324,64800,100,0,0
 325,65700,100,1000,10
 326,65600,100,0,0
 327,65500,100,0,0
 328,65400,100,0,0
 329,65300,100,0,0
 330,65300,100,100,1
 331,65200,100,0,0
 332,65100,100,0,0
 333,65000,100,0,0
 334,64900,100,0,0
 335,69800,100,5000,50
 336,74700,100,5000,50
 337,74600,100,0,0
 338,74600,100,100,1
 339,74500,100,0,0
 340,74400,100,0,0
 341,76800,100,2500,25
 342,76700,100,0,0
 343,76700,100,100,1
 344,76600,100,0,0
 345,76500,100,0,0
 346,76400,100,0,0
 347,76300,100,0,0
 348,76200,100,0,0
 349,76100,100,0,0
 350,76000,100,0,0
 351,75900,100,0,0
 352,76800,100,1000,10
 353,76700,100,0,0
 354,76700,100,100,1
 355,76600,100,0,0
 356,76500,100,0,0
 357,76400,100,0,0
 358,76300,100,0,0
 359,76200,100,0,0
 360,76100,100,0,0
 361,76000,100,0,0
 362,75900,100,0,0
 363,78300,100,2500,25
 364,83200,100,5000,50
 365,83100,100,0,0
 366,83000,100,0,0
 367,82900,100,0,0
 368,82800,100,0,0
 369,82700,100,0,0
 370,83600,100,1000,10
 371,83500,100,0,0
 372,83400,100,0,0
 373,83300,100,0,0
 374,84200,100,1000,10
 375,84100,100,0,0
 376,84000,100,0,0
 377,88900,100,5000,50
 378,88900,100,100,1
 379,88800,100,0,0
 380,88800,100,100,1
 381,88800,100,100,1
 382,88700,100,0,0
 383,88700,100,100,1
 384,88600,100,0,0
 385,88500,100,0,0
 386,88400,100,0,0
 387,88300,100,0,0
 388,88200,100,0,0
 389,88100,100,0,0
 390,88000,100,0,0
 391,87900,100,0,0
 392,87800,100,0,0
 393,87700,100,0,0
 394,87600,100,0,0
 395,87500,100,0,0
 396,87400,100,0,0
 397,87300,100,0,0
 398,87300,100,100,1
 399,87200,100,0,0
 400,87100,100,0,0
 401,87000,100,0,0
 402,86900,100,0,0
 403,86800,100,0,0
 404,86700,100,0,0
 405,86600,100,0,0
 406,86500,100,0,0
 407,86400,100,0,0
 408,86300,100,0,0
 409,86200,100,0,0
 410,86100,100,0,0
 411,86000,100,0,0
 412,85900,100,0,0
 413,85800,100,0,0
 414,86700,100,1000,10
 415,86700,100,100,1
 416,86600,100,0,0
 417,86500,100,0,0
 418,86400,100,0,0
 419,86300,100,0,0
 420,88700,100,2500,25
 421,88600,100,0,0
 422,88500,100,0,0
 423,93400,100,5000,50
 424,93300,100,0,0
 425,93200,100,0,0
 426,93100,100,0,0
 427,93100,100,100,1
 428,93000,100,0,0
 429,92900,100,0,0
 430,92800,100,0,0
 431,92700,100,0,0
 432,95100,100,2500,25
 433,95000,100,0,0
 434,94900,100,0,0
 435,94800,100,0,0
 436,99700,100,5000,50
 437,99600,100,0,0
 438,99500,100,0,0
 439,101900,100,2500,25
 440,101800,100,0,0
 441,101700,100,0,0
 442,101600,100,0,0
 443,101500,100,0,0
 444,101400,100,0,0
 445,101300,100,0,0
 446,101200,100,0,0
 447,101100,100,0,0
 448,103500,100,2500,25
 449,103400,100,0,0
 450,103300,100,0,0
 451,103200,100,0,0
 452,103100,100,0,0
 453,103100,100,100,1
 454,103000,100,0,0
 455,102900,100,0,0
 456,102900,100,100,1
 457,102900,100,100,1
 458,102800,100,0,0
 459,102700,100,0,0
 460,102600,100,0,0
 461,102500,100,0,0
 462,102400,100,0,0
 463,103300,100,1000,10
 464,103200,100,0,0
 465,103200,100,100,1
 466,113100,100,10000,100
 467,113000,100,0,0
 468,112900,100,0,0
 469,115300,100,2500,25
 470,125200,100,10000,100
 471,125100,100,0,0
 472,125000,100,0,0
 473,134900,100,10000,100
 474,134800,100,0,0
 475,135700,100,1000,10
 476,135600,100,0,0
 477,135500,100,0,0
 478,135400,100,0,0
 479,135300,100,0,0
 480,135200,100,0,0
 481,135200,100,100,1
 482,135100,100,0,0
 483,135000,100,0,0
 484,134900,100,0,0
 485,134800,100,0,0
 486,134700,100,0,0
 487,134700,100,100,1
 488,134700,100,100,1
 489,135600,100,1000,10
 490,135500,100,0,0
 491,135400,100,0,0
 492,135300,100,0,0
 493,135200,100,0,0
 494,135100,100,0,0
